,created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
1873,Fri Jun 18 20:39:10 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Israel will deliver more than a million doses of #COVID19 vaccines to the Palestinian Authority to help it fight th… https://t.co/1Z0DDkQEru,0.5,0.5,en,453,185,degsyroberts,2305,4936,,"[{'text': 'COVID19', 'indices': [64, 72]}]","[{'screen_name': 'IsraelMFA', 'name': 'Israel Foreign Ministry', 'id': 85796380, 'id_str': '85796380', 'indices': [3, 13]}]",
1874,Fri Jun 18 20:39:36 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","EXC #Adelaide in box seat to host a new #Covid19 vaccine plant, Premier @marshall_steven tells @theTiser as pressur… https://t.co/jiwXZi5Tav",0.13636363636363635,0.45454545454545453,en,4,2,DemiCassiani,65134,59993,,"[{'text': 'Adelaide', 'indices': [22, 31]}, {'text': 'Covid19', 'indices': [58, 66]}]","[{'screen_name': 'andrew_hough', 'name': 'Andrew Hough', 'id': 320692744, 'id_str': '320692744', 'indices': [3, 16]}, {'screen_name': 'marshall_steven', 'name': 'Steven Marshall, MP', 'id': 93818188, 'id_str': '93818188', 'indices': [90, 106]}, {'screen_name': 'theTiser', 'name': 'The Advertiser', 'id': 9609582, 'id_str': '9609582', 'indices': [113, 122]}]","Adelaide, Australia"
1875,Fri Jun 18 20:39:45 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","About #COVID19 vaccines @ndtv, 14 Jun (1/2)
- Don’t expect very efficient &amp; safe COVID19 vax
- In short term, vax f… https://t.co/dvfMhg6miS",0.2333333333333333,0.3666666666666667,en,1672,1158,renee88lee,618,286,,"[{'text': 'COVID19', 'indices': [24, 32]}]","[{'screen_name': 'DrLiMengYAN1', 'name': 'Dr. Li-Meng YAN', 'id': 1313128625680592896, 'id_str': '1313128625680592896', 'indices': [3, 16]}, {'screen_name': 'ndtv', 'name': 'NDTV', 'id': 37034483, 'id_str': '37034483', 'indices': [42, 47]}]",
1876,Fri Jun 18 20:39:49 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">SmartTaipei</a>","Taiwan will allow TSMC and Foxconn to buy 10 million doses of COVID vaccines on behalf of the government.
#COVID19… https://t.co/PsY2PYYO99",0.0,0.0,en,22,9,SmartTaipei,593,250,,"[{'text': 'COVID19', 'indices': [122, 130]}]","[{'screen_name': 'NikkeiAsia', 'name': 'Nikkei Asia', 'id': 436429668, 'id_str': '436429668', 'indices': [3, 14]}]",Taipei
1877,Fri Jun 18 20:39:51 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay… https://t.co/EwjAjM3WFk",0.0,0.0,en,936,528,flaviaursa42,60,393,,"[{'text': 'COVID19', 'indices': [101, 109]}]","[{'screen_name': 'Winnie_Byanyima', 'name': 'Winnie Byanyima', 'id': 355696940, 'id_str': '355696940', 'indices': [3, 19]}]",Sverige
1878,Fri Jun 18 20:39:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#WHO: The World Health Organization voiced alarm Friday at surging #COVID19 cases across #Africa, with the spread o… https://t.co/KMlg6mjlhx",0.0,0.0,en,0,0,Aroguden,12185,12817,False,"[{'text': 'WHO', 'indices': [0, 4]}, {'text': 'COVID19', 'indices': [67, 75]}, {'text': 'Africa', 'indices': [89, 96]}]",[],Barquisimeto-Venezuela
1879,Fri Jun 18 20:39:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",🇩🇪minister Müller: “We need #vaccines ‚Made in #Africa‘. The Institut Pasteur in 🇸🇳 has a convincing concept: from… https://t.co/HyjOuM04Ro,0.5,1.0,en,26,10,biodunawosusi,2452,777,,"[{'text': 'vaccines', 'indices': [49, 58]}, {'text': 'Africa', 'indices': [68, 75]}]","[{'screen_name': 'OlafDeutschbein', 'name': 'Olaf Deutschbein', 'id': 1019855984339152896, 'id_str': '1019855984339152896', 'indices': [3, 19]}]",Global
1880,Fri Jun 18 20:40:00 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Any politician promoting lockdowns, mask mandates &amp; vaccines as a solution to covid19, are in full support of UN Ag… https://t.co/cMKcGPIWVY",0.35,0.55,en,65,24,liz196028,695,1180,,[],"[{'screen_name': 'Artemis2030', 'name': 'Artemis 2030 🇦🇺', 'id': 1327857595558756352, 'id_str': '1327857595558756352', 'indices': [3, 15]}]",
1881,Fri Jun 18 20:40:00 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","As #Covid19 vaccines roll out across the country, it’s important that we continue to work together and follow publi… https://t.co/B7x331AATT",0.4,1.0,en,30,9,KSP_Libs,3041,3744,,"[{'text': 'Covid19', 'indices': [15, 23]}]","[{'screen_name': 'Canada', 'name': 'Canada', 'id': 2459609448, 'id_str': '2459609448', 'indices': [3, 10]}]",Kildonan-St. Paul Winnipeg MB
1882,Fri Jun 18 20:40:08 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","As of June 17th, T&amp;T has administered 201,313 doses of a WHO-approved #COVID19 vaccine. The country has approximate… https://t.co/25KQtXEnFg",0.0,0.0,en,114,34,Ria_LA_A,121,120,,"[{'text': 'COVID19', 'indices': [87, 95]}]","[{'screen_name': 'KalainH', 'name': 'Kalain Hosein', 'id': 577607285, 'id_str': '577607285', 'indices': [3, 11]}]","Port of Spain, Trinidad"
1883,Fri Jun 18 20:40:19 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1/5 Canada’s National Advisory Committee on Immunization has updated its recommendations on first and second doses… https://t.co/dVPqkL5AkX,0.125,0.16666666666666666,en,54,34,KSP_Libs,3041,3744,,[],"[{'screen_name': 'GovCanHealth', 'name': 'Health Canada and PHAC', 'id': 36375825, 'id_str': '36375825', 'indices': [3, 16]}]",Kildonan-St. Paul Winnipeg MB
1884,Fri Jun 18 20:40:23 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EU's vaccine failure exposed: Binned #AstraZeneca and backed German jab that doesn't work #CureVac #COVID19… https://t.co/Z7muCsOesv,-0.15833333333333335,0.15,en,69,33,Lee18888196,70,152,,"[{'text': 'AstraZeneca', 'indices': [56, 68]}, {'text': 'CureVac', 'indices': [109, 117]}, {'text': 'COVID19', 'indices': [118, 126]}]","[{'screen_name': 'Daily_Express', 'name': 'Daily Express', 'id': 17895820, 'id_str': '17895820', 'indices': [3, 17]}]","New Milton, England"
1885,Fri Jun 18 20:40:38 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""The judge ordered delivery of 80.2m doses by 27 Sept 2021. To date, AZ has supplied more than 70m doses to the EU… https://t.co/A6JAKomAhd",0.5,0.5,en,5,4,AlastairJT,8329,1960,,[],"[{'screen_name': 'josh_soane', 'name': 'Josh Soane', 'id': 302835486, 'id_str': '302835486', 'indices': [3, 14]}]",Bath
1886,Fri Jun 18 20:40:39 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","You can get a #COVID19 vaccine and other vaccines, including flu and shingles, at the same visit. You no longer nee… https://t.co/F9Y4aRKaKR",-0.0625,0.25,en,151,98,NewBethMin,654,631,,"[{'text': 'COVID19', 'indices': [26, 34]}]","[{'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [3, 10]}]","Bethlehem, PA"
1887,Fri Jun 18 20:40:42 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",⬇️Israel saves its enemies lives but iran regime didn’t let Iranian have great Pfizer and Modena vaccines… https://t.co/sQ7dxNARCg,0.8,0.75,en,0,0,GreatCyrusSeek,194,302,,[],[],
1888,Fri Jun 18 20:40:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0.0,0.0,en,186,118,Wildwind___,41,898,False,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",Somewhere
1889,Fri Jun 18 20:40:44 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperat… https://t.co/9jIdpiOzRc",0.5,0.18333333333333332,en,407,199,2dizzymadwife,23,359,,[],"[{'screen_name': 'globalhlthtwit', 'name': 'Anthony Costello', 'id': 83440337, 'id_str': '83440337', 'indices': [3, 18]}]",
1890,Fri Jun 18 20:40:54 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SA #COVID19 Vaccinations Stats: 18 June 2021

Surpassed 2M mark for vaccines administered
Another all-time high! Ne… https://t.co/fxi1DfwBzX",0.2,0.5399999999999999,en,3,1,british2012,593,2336,,"[{'text': 'COVID19', 'indices': [20, 28]}]","[{'screen_name': 'Rona19Stats', 'name': 'COVID-19 SA Stats', 'id': 1290622433809104897, 'id_str': '1290622433809104897', 'indices': [3, 15]}]",Kempton Park
1891,Fri Jun 18 20:40:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SA #COVID19 Vaccinations Stats: 18 June 2021

Surpassed 2M mark for vaccines administered
Another all-time high! Ne… https://t.co/fxi1DfwBzX",0.2,0.5399999999999999,en,3,2,Skatiq3,77,430,,"[{'text': 'COVID19', 'indices': [20, 28]}]","[{'screen_name': 'Rona19Stats', 'name': 'COVID-19 SA Stats', 'id': 1290622433809104897, 'id_str': '1290622433809104897', 'indices': [3, 15]}]","Rustenburg, South Africa"
1892,Fri Jun 18 20:40:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0.0,0.0,en,187,119,lZoe7i5,740,2340,False,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",Pennsylvania
1893,Fri Jun 18 20:41:12 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",why can’t africa look after their own ?,0.6,1.0,en,0,0,puffingtonpete,1231,2295,,[],[],Canada
1894,Fri Jun 18 20:41:12 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""The judge ordered delivery of 80.2m doses by 27 Sept 2021. To date, AZ has supplied more than 70m doses to the EU… https://t.co/A6JAKomAhd",0.5,0.5,en,6,5,MaqsDad,235,704,,[],"[{'screen_name': 'josh_soane', 'name': 'Josh Soane', 'id': 302835486, 'id_str': '302835486', 'indices': [3, 14]}]",
1895,Fri Jun 18 20:41:30 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Thursday marks the one-year anniversary of the Extraordinary China-Africa Summit on Solidarity against #COVID19. Wh… https://t.co/eWCFQIjrg1,0.3333333333333333,1.0,en,19,9,CacoBrasil2,15363,14510,,"[{'text': 'COVID19', 'indices': [115, 123]}]","[{'screen_name': 'XHNews', 'name': 'China Xinhua News', 'id': 487118986, 'id_str': '487118986', 'indices': [3, 10]}]",São Paulo
